Feb 10 19:40:28 dsm-f kernel: [   97.721236] SoftIWARP attached
Feb 10 19:40:28 dsm-f kernel: [   97.765615] [dsm_init] ip : 192.168.1.106
Feb 10 19:40:28 dsm-f kernel: [   97.765617] [dsm_init] port : 4444
Feb 10 19:40:38 dsm-f kernel: [  108.220973] [DSM_DSM]
Feb 10 19:42:57 dsm-f kernel: [  247.345553]  [_dsm_extract_page] faulting for page 00007f41e83df000  
Feb 10 19:42:57 dsm-f kernel: [  247.345555]  [_dsm_extract_page] got page ffffea00105fe2c0  
Feb 10 19:42:57 dsm-f kernel: [  247.345557]  [_dsm_extract_page] faulting for page 00007f41e83e0000  
Feb 10 19:42:57 dsm-f kernel: [  247.345559]  [_dsm_extract_page] got page ffffea00105fe300  
Feb 10 19:42:57 dsm-f kernel: [  247.345561]  [_dsm_extract_page] faulting for page 00007f41e83e4000  
Feb 10 19:42:57 dsm-f kernel: [  247.345563]  [_dsm_extract_page] got page ffffea00105fe400  
Feb 10 19:42:57 dsm-f kernel: [  247.345565]  [_dsm_extract_page] faulting for page 00007f41e83e5000  
Feb 10 19:42:57 dsm-f kernel: [  247.345567]  [_dsm_extract_page] got page ffffea00105fe440  
Feb 10 19:42:57 dsm-f kernel: [  247.345569]  [_dsm_extract_page] faulting for page 00007f41e83e7000  
Feb 10 19:42:57 dsm-f kernel: [  247.345571]  [_dsm_extract_page] got page ffffea00105fe4c0  
Feb 10 19:42:57 dsm-f kernel: [  247.345573]  [_dsm_extract_page] faulting for page 00007f41e83e8000  
Feb 10 19:42:57 dsm-f kernel: [  247.345575]  [_dsm_extract_page] got page ffffea00105fe500  
Feb 10 19:42:57 dsm-f kernel: [  247.345577]  [_dsm_extract_page] faulting for page 00007f41e83ed000  
Feb 10 19:42:57 dsm-f kernel: [  247.345579]  [_dsm_extract_page] got page ffffea00105fe640  
Feb 10 19:42:57 dsm-f kernel: [  247.345581]  [_dsm_extract_page] faulting for page 00007f41e83aa000  
Feb 10 19:42:57 dsm-f kernel: [  247.345832]  [_dsm_extract_page] got page ffffea00105fd580  
Feb 10 19:42:57 dsm-f kernel: [  247.345835]  [_dsm_extract_page] faulting for page 00007f41e85e7000  
Feb 10 19:42:57 dsm-f kernel: [  247.346660]  [_dsm_extract_page] got page ffffea00105e64c0  
Feb 10 19:42:57 dsm-f kernel: [  247.346663]  [_dsm_extract_page] faulting for page 00007f41e8607000  
Feb 10 19:42:57 dsm-f kernel: [  247.346666]  [_dsm_extract_page] got page ffffea00105e6cc0  
Feb 10 19:42:57 dsm-f kernel: [  247.346668]  [_dsm_extract_page] faulting for page 00007f41e8608000  
Feb 10 19:42:57 dsm-f kernel: [  247.346670]  [_dsm_extract_page] got page ffffea00105e6d00  
Feb 10 19:42:57 dsm-f kernel: [  247.346672]  [_dsm_extract_page] faulting for page 00007f41e8609000  
Feb 10 19:42:57 dsm-f kernel: [  247.346674]  [_dsm_extract_page] got page ffffea00105e6d40  
Feb 10 19:42:57 dsm-f kernel: [  247.346676]  [_dsm_extract_page] faulting for page 00007f41e860c000  
Feb 10 19:42:57 dsm-f kernel: [  247.346678]  [_dsm_extract_page] got page ffffea00105e6e00  
Feb 10 19:42:57 dsm-f kernel: [  247.346680]  [_dsm_extract_page] faulting for page 00007f41e8469000  
